title,episode,genre,platform,poster,status,trope,year
a good day to be a dog,16,"comedy, fantasy, romance",Rakuten Viki,https://i.mydramalist.com/4ewNdd_4c.jpg?v=1,Done,"forced proximity, office romance, past-life, tsundere",2023
a killer paradox,8,"action, crime, thriller",netflix,,Done,,2024
a shop for killers,8,"action, thriller",disney+,https://i.mydramalist.com/QJNjwg_4c.jpg?v=1,Done,found family,2024
adamas,16,"crime, mystery, thriller",disney+,,Done,,2022
all of us are dead,12,"romance, school, thriller",netflix,https://i.mydramalist.com/WRQmX_4c.jpg?v=1,Done,friends to lovers,2022
anna,8,"drama, thriller",amazon prime,,Done,,2022
"at a distance, spring is green",12,"drama, romance, slice of life",iQIYI,,Done,,2021
because this is my first life,16,"comedy, romance, slice of life","disney+, netflix, viu",https://i.mydramalist.com/PdBoyc.jpg?v=1,Done,strangers to lovers,2017
big mouth,16,"crime, mystery, romance, thriller",disney+,,Done,,2022
bitch x rich,10,"drama, mystery, school, thriller",viu,,Done,,2023
black out,14,"crime, mystery, thriller",hulu,https://i.mydramalist.com/2wkJqw_4c.jpg?v=1,Done,"cold case, the chain of secrets, the innocent framed, unlikely friendship",2024
blind,16,"crime, mystery, thriller",viu,https://i.mydramalist.com/x3qE0_4c.jpg?v=1,Done,,2022
bloodhounds,8,"action, thriller",netflix,,Done,,2023
blue birthday,16,"crime, fantasy, mystery, romance, school",,,Done,,2021
business proposal,12,"comedy, romance",netflix,https://i.mydramalist.com/v24Pg_4c.jpg?v=1,Done,office romance,2022
call it love,12,"melodrama, romance",disney+,https://i.mydramalist.com/1wm5R5_4c.jpg?v=1,Done,enemies to lovers,2023
celebrity,12,drama,netflix,,Done,,2023
cheer up,16,"mystery, romance, slice of life",viu,,Done,"high school romance, tsundere",2022
cheese in the trap,16,"drama, romance, slice of life","disney+, iQIYI",,Done,,2016
chief detective 1958,10,action,disney+,https://i.mydramalist.com/eYVe1Q_4c.jpg?v=1,Done,fight for justice,2024
coffee prince,17,"comedy, drama, romance","netflix, viu",,Done,,2007
connection,14,"crime, mystery",disney+,https://i.mydramalist.com/0wvlXe_4c.jpg?v=1,Done,"blackmailed into actions, childhood friends, cold case",2024
crash landing on you,16,"comedy, romance",netflix,https://i.mydramalist.com/RkwOoc.jpg?v=1,Done,enemies to lovers,2019
d.p,6,"action, thriller",netflix,,Done,,2021
d.p (season 2),6,"action, thriller",netflix,,Done,,2023
daily dose of sunshine,12,"comedy, drama",netflix,https://i.mydramalist.com/QJKJP7_4c.jpg?v=1,Done,"love triangle, office romance, slow burn",2023
dali & cocky prince,16,"comedy, romance",netflix,https://i.mydramalist.com/Z6oP7_4c.jpg?v=1,Done,enemies to lovers,2021
death’s game,,"fantasy, thriller",,,In progress,,2023
descendants of the sun,16,"action, melodrama, romance","iQIYI, netflix",https://i.mydramalist.com/vN26Zc.jpg?v=1,Done,"bromance, forced proximity, opposite attracts, strangers to lovers",2016
doom at your service,16,"fantasy, melodrama, romance",viu,https://i.mydramalist.com/vlNOX_4c.jpg?v=1,Done,enemies to lovers,2021
doona!,9,romance,netflix,https://i.mydramalist.com/qY2doQ_4c.jpg?v=1,Done,strangers to lovers,2023
extracurricular,10,"crime, school, thriller",netflix,,Done,,2020
extraordinary attorney woo,16,"legal, romance",netflix,,Done,,2022
extraordinary you,16,"fantasy, romance, school",viu,,Done,,2019
family by choice,16,"romance, slice of life",viu,https://i.mydramalist.com/1wKdRb_4c.jpg?v=1,In progress,"found family, friends to lovers",2024
fight for my way,16,"comedy, drama, romance","iQIYI, netflix",,Done,,2017
flex x cop,16,"action, mystery, romance",disney+,https://i.mydramalist.com/qYbz7B_4c.jpg?v=1,Done,enemies to lovers,2024
gangnam b-side,,"action, crime, mystery",disney+,,Done,,2024
guardian: the lonely and great god (goblin),16,"comedy, fantasy, melodrama, romance","disney+, netflix, viu",,Done,destiny,2016
happiness,12,"action, thriller","netflix, viu",https://i.mydramalist.com/BWXjV_4c.jpg?v=1,Done,friends to lovers,2021
healer,20,"action, romance","iQIYI, netflix",,Done,,2014
hometown cha-cha-cha,16,"comedy, romance, slice of life",netflix,https://i.mydramalist.com/ZeKv1_4f.jpg,Done,"enemies to lovers, love triangle, opposite attracts",2021
if you wish upon me,16,"drama, romance",viu,,Done,,2021
it's okay to not be okay,16,"comedy, romance, thriller",netflix,https://i.mydramalist.com/xw3xX_4c.jpg?v=1,Done,"childhood connection, healing trauma, opposite attracts",2020
jinxed at first,16,"comedy, fantasy, romance",iQIYI,,Done,,2022
juvenile deliquency,,thriller,,,Done,,2022
juvenile justice,10,"crime, legal",netflix,,In progress,,
kill it,12,thriller,iQIYI,,Done,,2019
law school,16,"legal, thriller",netflix,,Done,,2021
legend of the blue sea,20,"comedy, fantasy, romance",netflix,,Done,"first love, fish out of water, love triangle, past-life",2016
like flowers in sand,16,"mystery, romance, slice of life",,https://i.mydramalist.com/qYOOKQ_4c.jpg?v=1,Done,friends to lovers,2023
live on,8,"romance, school",iQIYI,https://i.mydramalist.com/xW1vX_4c.jpg?v=1,Done,"enemies to lovers, high school romance",2021
longing for you,,"mystery, thriller",viu,,In progress,,2023
love all play,16,"romance, sport",disney+,,Done,,2022
love next door,16,"comedy, romance",netflix,https://i.mydramalist.com/x4ngkw_4c.jpg?v=1,In progress,friends to lovers,2024
love your enemy,12,romance,disney+,https://i.mydramalist.com/73ZR3B_4c.jpg?v=1,In progress,"enemies to lovers, office romance",2024
lovely runner,16,"comedy, romance",,,In progress,"high school romance, time travel",2024
melting me softly,16,"fantasy, romance",,https://i.mydramalist.com/QNqYgc.jpg?v=1,Done,"fish out of water, strangers to lovers",2019
memories of the alhambra,16,"action, fantasy, romance, thriller",netflix,,Done,,2018
moon in the day,16,"romance, thriller",viu,https://i.mydramalist.com/QJ53r4_4c.jpg?v=1,Done,"enemies to lovers, past-life",2023
moon lovers: scarlet heart ryeo,20,"historical, melodrama, romance","amazon prime, netflix",https://i.mydramalist.com/jWJxbc.jpg?v=1,Done,enemies to lovers,2016
mouse,20,"mystery, thriller",viu,,Done,,2021
moving,20,"fantasy, school, thriller",disney+,,Done,,2023
mr. plankton,10,romance,netflix,https://i.mydramalist.com/l0QRLe_4c.jpg?v=1,Done,reunited ex-lovers,2024
mr. queen,16,"comedy, fantasy, historical, romance","netflix, viu",,Done,,2022
my liberation notes,16,"melodrama, romance, slice of life",netflix,https://i.mydramalist.com/jd5jw_4c.jpg?v=1,Done,"opposite attracts, slow burn, strangers to lovers",2022
my love from the star,21,"comedy, fantasy, melodrama, romance","iQIYI, netflix, viu",https://i.mydramalist.com/d0dQAc.jpg?v=1,Done,"childhood crush, enemies to lovers, love triangle, past-life",2014
my lovely liar,,"comedy, mystery, romance",viu,,In progress,,2023
my man is cupid,16,"fantasy, romance",,,Done,"destiny, past-life, tsundere",2023
my name,8,"action, crime, thriller",netflix,https://i.mydramalist.com/jD3br_4c.jpg?v=1,Done,"enemies to lovers, undercover",2021
my perfect stranger,16,"fantasy, mystery, romance, thriller",viu,,Done,,2023
my sweet mobster,16,"comedy, romance",viu,,In progress,"childhood crush, found family, sugar-and-ice personality",2024
no gain no love,12,"comedy, romance",,,Done,contract marriage,2024
oasis,,"historical, romance",,,In progress,,2023
oh my venus,16,"comedy, romance",viu,,Done,,
once upon a small town,12,"romance, slice of life",netflix,,Done,,2022
one dollar lawyer,12,"comedy, legal",disney+,,Done,,2022
one ordinary day,8,"crime, legal, mystery, thriller","netflix, viu",,Done,,2021
our beatiful summer,2,"school, slice of life",,https://i.mydramalist.com/60lvAO_4c.jpg?v=1,Done,healing family trauma,2024
police university,16,"action, crime",netflix,,Done,,2021
princess hours,24,"drama, romance",viu,https://i.mydramalist.com/b30NEc.jpg?v=1,Done,"arranged marriage, tsundere",2006
private lives,16,"crime, romance, thriller",netflix,,Done,,2020
revenge of others,10,"drama, mystery, school, thriller",disney+,,Done,"destiny, forced proximity, friends to lovers, slow burn",2022
rookie cops,16,"drama, romance, thriller",disney+,,Done,,2022
school 2017,16,"drama, romance, school",netflix,,Done,,2017
school 2021,16,"drama, romance, school",,,Done,,2021
search,10,"action, thriller",iQIYI,,Done,,2020
seasons of blossom,16,"drama, romance, school, thriller",apple tv,,Done,,2022
see you in my 19th life,12,"drama, fantasy, romance",netflix,,Done,"first love, past-life, reincarnation",2023
signal,16,"crime, mystery, thriller","amazon prime, iQIYI, netflix",,Done,,2016
sky castle,20,"drama, thriller","disney+, netflix",,Done,,2019
snowdrop,16,"drama, romance",disney+,,Done,,2021
something in the rain,16,"melodrama, romance","netflix, viu",,Done,,2018
start-up,16,"drama, romance, slice of life",netflix,,Done,,2020
strong woman do bong soon,16,"comedy, crime, fantasy, romance","disney+, netflix",,Done,,2017
summer strike,12,"romance, slice of life","netflix, viu",,Done,,2022
sweet home,10,"action, thriller",netflix,,Done,,2020
sweet home 2,8,"action, fantasy, thriller",,,Done,,2023
taxi driver,16,"action, crime, thriller","netflix, viu",,Done,,2021
